page_number,titel,url,year
3,Rappel: MOUSQUETON SALEWA Hot G2 Bent,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-40373.html,2011
3,BFC - Migros rappelle la tondeuse électrique EH 38,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-40307.html,2011
3,BFC - Rappel pour l' échange standard du dispositif d'assurage autobloquant GRIGRI 2,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-39817.html,2011
3,BFC - Un avertissement de sécurité et un rappel de produit,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-39730.html,2011
3,Rappel pour une inspection de toutes les longes SCORPIO et alerte sécurité pour les longes ABSORBICA,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-39396.html,2011
3,BFC – DMM rappelle les cames Dragon des tailles 4 et 5,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-38518.html,2011
3,BFC - IKEA rappelle les cafetières/théières FÖRSTÅ en verre/acier,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-37922.html,2011
3,BFC – C&A rappelle des chaussures pour bébés,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-37656.html,2011
3,BFC – Migros rappelle le salami bio italien,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-37571.html,2011
3,BFC - IKEA rappelle les chopes faites main RUND,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-37333.html,2011
1,"OFSP - Par précaution, Coop rappelle trois variétés de pain qui étaient vendues dans sa région du nord-ouest",https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-47346.html,2012
1,OFSP - Rappel volontaire de Pizzas surgelées « La Toscana » de la marque Buitoni,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-47333.html,2012
1,BFC – Rappel volontaire du dispositif pour escalade Ropeman 3 de Wild Country,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-46665.html,2012
1,BFC – Rappel volontaire d’une gamme d’horticulture à moteur thermique ATIKA,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-46321.html,2012
1,BFC - OTTO’S SA - Mise en guarde publique concernant les casques pour vélo du modèle GIRO Indicator G151X,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-46243.html,2012
1,BFC - EDELRID procède à un rappel préventif de sets VIA FERRATA de production 2010 à 2012,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-46102.html,2012
1,BFC - Rappel: panoplie Wild Country Via Ferrata,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-46011.html,2012
1,BFC - Migros rappelle les coffrets de dinosaures Animanca,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-45851.html,2012
1,Migros rappelle le fauteuil Sevilla à dossier réglable,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-45775.html,2012
1,Rappel: bouteille d’eau pour les enfants de H&M,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-45671.html,2012
2,BFC - Rappel : baudriers SALEWA Civetta II et Vertigo 400 Alpindonna,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-45512.html,2012
2,"ESTI - Lenovo rappelle des ordinateurs « tout-en-un »
           (dernière modification, le 29.11.2013)",https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-44417.html,2012
2,"ESTI - IKEA rappelle IKEA 365+ SÄNDA rails électriques 70 et 114 cm
           (dernière modification, le 29.11.2013)",https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-44318.html,2012
2,"BFC - Migros rappelle les bonbons Bonherba aux herbes, sans sucres",https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-44315.html,2012
2,Rappel de produit: brosse à dents elmex® enfant,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-44229.html,2012
2,"ESTI – Rappel de certains adaptateurs de voyage Samsonite
           (dernière modification, le 29.11.2013)",https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-44180.html,2012
2,"ESTI - Rappel de quatre produits de marque Fackelmann, exploités sous licence par Lutter & Partner
           (dernière modification, le 29.11.2013)",https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-43753.html,2012
2,"ESTI - IKEA rappelle un nombre limité de grilles de four
           (dernière modification, le 29.11.2013)",https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-43573.html,2012
2,BFC - Migros rappelle des crevettes cuites Tail-on,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-43514.html,2012
2,BFC - Migros rappelle des bougies de cire gel en verre,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-43491.html,2012
3,BFC - Migros rappelle des articles de la gamme Cornatur Quorn,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-43328.html,2012
3,Rappel de bocaux contenant des poivrons farcis au fromage frais en raison de la présence d'éclats de verre,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-43279.html,2012
3,BFC - Migros rappelle les pantoufles pour bébé décorées d’une tête d’élan brodée,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-43108.html,2012
3,BFC - IKEA rappelle certains lots de ceintures de sécurité de chaises hautes ANTILOP,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2012.msg-id-42875.html,2012
1,OSAV - Rappel de Migros: le yogourt bio Bircher contient des noisettes non déclarées- risque pour les personnes allergiques,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2013.msg-id-51626.html,2013
1,OFSP - Rappel: Manor rappelle les filets d'anchois ALBO,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2013.msg-id-51465.html,2013
1,BFC - IKEA enjoint de sécuriser les lampes murales SMILA à l’aide de fixations pour câbles,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2013.msg-id-51334.html,2013
1,OFROU – Avis de rappel important de sécurité Amortisseur de direction ÖHLINS,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2013.msg-id-51323.html,2013
1,"OFSP - Rappel: Clinique Anti-Blemish Solutions Hydratant Purifiant Formule S.O.S, lot BA3",https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2013.msg-id-51375.html,2013
1,OFROU - Rappel volontaire: Stromer rappel toutes les fourches de la première série du ST1,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2013.msg-id-51234.html,2013
1,ESTI – Lidl informe du rappel de l’appareil à cupcakes de la marque « Silver Crest »,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2013.msg-id-51199.html,2013
1,BFC - Rappel volontaire de produits concernant des flexibles haut pression en caoutchouc (Suunto),https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2013.msg-id-51131.html,2013
1,"ESTI - Avertissement de sécurité pour les lave-vaisselles des marques Bosch et Siemens
           (dernière modification, le 29.11.2013)",https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2013.msg-id-50972.html,2013
1,Rappel de produit: Coop rappelle les Spicy Maple Chicken Wings,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2013.msg-id-50843.html,2013
2,OFROU - Rappel volontaire de certains pneus dans la ligne Hercules All TRAC A/T,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2013.msg-id-50786.html,2013
2,Coop rappelle la salade Tomato Basil Chicken,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2013.msg-id-50697.html,2013
2,"BFC – Wild Country rappelle certains lots de Rock Classic et Rock anodisé
           (dernière modification, le 10.10.2013)",https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2013.msg-id-50494.html,2013
2,OFSP - Migros rappelle la moutarde de Bénichon,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2013.msg-id-50174.html,2013
2,BFC - Coop informe du rappel des brassards de natation pour enfants «Jack and the Neverland Pirates» de Mondo S.p.A.,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2013.msg-id-49960.html,2013
